lik	gamma	delta
-1045.25751930168	0.00249522256858261	0.25528103080782
-1131.5924975337	0.00249522256858261	0.0135588231564696
-1131.8718100057	0.00249522256858261	0.0336735756901805
-1131.91956331917	0.00249522256858261	6.61069613519961e-05
-1073.33766661142	0.00249522256858261	0.139388814264557
-1131.91946174597	0.00249522256858261	6.61069613519961e-05
-1131.91953754743	0.00249522256858261	6.61069613519961e-05
-1131.91943636201	0.00249522256858261	6.61069613519961e-05
-1131.91987769603	0.00249522256858261	6.61069613519961e-05
-1131.91942554802	0.00249522256858261	6.61069613519961e-05
-1131.91950384168	0.00249522256858261	6.61069613519961e-05
-1072.4055748713	0.00249522256858261	0.141417693880532
-1073.3771236422	0.00249522256858261	0.139305879945899
-1131.91950190617	0.00249522256858261	6.61069613519961e-05
-1131.91949313788	0.00249522256858261	6.61069613519961e-05
-1131.91942386711	0.00249522256858261	6.61069613519961e-05
-1131.91946129383	0.00249522256858261	6.61069613519961e-05
-1074.62981409412	0.00249522256858261	0.137763416679824
-1130.46239799405	0.00249522256858261	0.428719084208607
-1131.91942381232	0.00249522256858261	6.61069613519961e-05
-1131.91942377586	0.00249522256858261	6.61069613519961e-05
-1131.91942377586	0.00249522256858261	6.61069613519961e-05
-1131.91942377586	0.00249522256858261	6.61069613519961e-05
-1073.69572239177	0.00249522256858261	0.138673422737453
-1131.91942569739	0.00249522256858261	6.61069613519961e-05
-1072.50449327962	0.00249522256858261	0.141286775872395
-1131.91942569739	0.00249522256858261	6.61069613519961e-05
-1131.91990347377	0.00249522256858261	6.61069613519961e-05
-1073.72488374025	0.00249522256858261	0.139090404530911
-1131.91950329416	0.00249522256858261	6.61069613519961e-05
-1131.91942390105	0.00249522256858261	6.61069613519961e-05
-1131.7049457264	0.00249522256858261	0.13296410219573
-1131.91942385122	0.00249522256858261	6.61069613519961e-05
-1131.91951868552	0.00249522256858261	6.61069613519961e-05
-1131.91942385122	0.00249522256858261	6.61069613519961e-05
-1073.48921165376	0.00249522256858261	0.139086091862833
-1131.65862643462	0.00249522256858261	0.0892589492060757
-1130.32288098075	0.00249522256858261	0.999933893038648
-1074.22854365269	0.00249522256858261	0.139627197026017
-1131.91127136823	0.00249522256858261	0.0182814673635119
-1131.91942338824	0.00249522256858261	0
