lik	gamma	delta
-650.7851687997	0.0017597404676238	0.147504948707762
-656.506873572813	0.0017597404676238	6.61069613519961e-05
-653.726553271858	0.0017597404676238	0.0351622332569695
-656.507555160336	0.0017597404676238	6.61069613519961e-05
-656.506871924345	0.0017597404676238	6.61069613519961e-05
-655.456880668434	0.0017597404676238	0.129066278098692
-651.636305000843	0.0017597404676238	0.0441089814436456
-656.506871924345	0.0017597404676238	6.61069613519961e-05
-656.506871984069	0.0017597404676238	6.61069613519961e-05
-656.506871984069	0.0017597404676238	6.61069613519961e-05
-656.430556986564	0.0017597404676238	0.0408415106220408
-651.022979165778	0.0017597404676238	0.0466832809573415
-656.50687216177	0.0017597404676238	6.61069613519961e-05
-656.507109172281	0.0017597404676238	6.61069613519961e-05
-650.778367321433	0.0017597404676238	0.0474592325402451
-656.50687216177	0.0017597404676238	6.61069613519961e-05
-656.506872062269	0.0017597404676238	6.61069613519961e-05
-656.507070429611	0.0017597404676238	6.61069613519961e-05
-650.807763892919	0.0017597404676238	0.047300112876332
-656.506872062269	0.0017597404676238	6.61069613519961e-05
-656.506871829266	0.0017597404676238	6.61069613519961e-05
-656.506871829266	0.0017597404676238	6.61069613519961e-05
-656.506871829266	0.0017597404676238	6.61069613519961e-05
-650.952400217907	0.0017597404676238	0.0465343305309092
-656.507058437635	0.0017597404676238	6.61069613519961e-05
-656.507417933058	0.0017597404676238	6.61069613519961e-05
-650.38864382171	0.0017597404676238	0.0495804621900477
-656.506873790512	0.0017597404676238	6.61069613519961e-05
-656.506871829266	0.0017597404676238	6.61069613519961e-05
-650.952400217907	0.0017597404676238	0.0465343305307433
-656.506871829266	0.0017597404676238	6.61069613519961e-05
-656.506871829266	0.0017597404676238	6.61069613519961e-05
-650.726598391318	0.0017597404676238	0.0477429193464823
-656.507080158226	0.0017597404676238	6.61069613519961e-05
-656.506968897477	0.0017597404676238	6.61069613519961e-05
-656.506872184919	0.0017597404676238	6.61069613519961e-05
-656.507127452587	0.0017597404676238	6.61069613519961e-05
-650.764401407139	0.0017597404676238	0.0475350523428478
-656.506872215111	0.0017597404676238	6.61069613519961e-05
-656.506872215111	0.0017597404676238	6.61069613519961e-05
-656.506871687808	0.0017597404676238	0
