lik	gamma	delta
-996.411791781073	0.00199206230504586	0.222411780803449
-1083.84939416248	0.00199206230504586	0.0147787388992071
-1084.09632143147	0.00199206230504586	0.018973641706376
-1084.10627404439	0.00199206230504586	6.61069613519961e-05
-1037.87373655423	0.00199206230504586	0.23594344030609
-1060.34822737665	0.00199206230504586	0.105946189713451
-1082.82839784131	0.00199206230504586	0.368660352962562
-1079.46244291595	0.00199206230504586	0.377805575625309
-1015.81475792856	0.00199206230504586	0.152107369460837
-1084.10612257712	0.00199206230504586	6.61069613519961e-05
-1084.10612257712	0.00199206230504586	6.61069613519961e-05
-1084.10612257712	0.00199206230504586	6.61069613519961e-05
-1081.17812407724	0.00199206230504586	0.200659007625009
-1018.26672012235	0.00199206230504586	0.152221921437685
-1084.10612401545	0.00199206230504586	6.61069613519961e-05
-1084.10612401545	0.00199206230504586	6.61069613519961e-05
-1013.3063007979	0.00199206230504586	0.157878644020431
-1084.10612541892	0.00199206230504586	6.61069613519961e-05
-1084.10672720028	0.00199206230504586	6.61069613519961e-05
-1084.10622943924	0.00199206230504586	6.61069613519961e-05
-1084.1061238867	0.00199206230504586	6.61069613519961e-05
-1084.1061238867	0.00199206230504586	6.61069613519961e-05
-1014.61026665874	0.00199206230504586	0.154604575870434
-1084.1065654966	0.00199206230504586	6.61069613519961e-05
-1084.10612257712	0.00199206230504586	6.61069613519961e-05
-1015.81475792856	0.00199206230504586	0.152107369460817
-1084.10612257712	0.00199206230504586	6.61069613519961e-05
-1084.10612257712	0.00199206230504586	6.61069613519961e-05
-1028.01885313154	0.00199206230504586	0.141016790318742
-1068.73659862148	0.00199206230504586	0.335633355743414
-1084.10612286059	0.00199206230504586	6.61069613519961e-05
-1084.10612286059	0.00199206230504586	6.61069613519961e-05
-1084.10612260178	0.00199206230504586	6.61069613519961e-05
-1015.67070210906	0.00199206230504586	0.152382468988062
-1084.10612260178	0.00199206230504586	6.61069613519961e-05
-1084.1061829379	0.00199206230504586	6.61069613519961e-05
-1020.3174677196	0.00199206230504586	0.150469354316203
-1084.10612282162	0.00199206230504586	6.61069613519961e-05
-1084.10612282162	0.00199206230504586	6.61069613519961e-05
-1079.41559749574	0.00199206230504586	0.191241008100165
-1084.10612202342	0.00199206230504586	0
