lik	gamma	delta
-1029.48342974129	0.00240376099261451	0.255281072384857
-1115.81827385442	0.00240376099261451	0.0135587850252676
-1116.09760572907	0.00240376099261451	0.033665688151567
-1116.14534192786	0.00240376099261451	6.61069613519961e-05
-1116.14546852658	0.00240376099261451	6.61069613519961e-05
-1111.6374328263	0.00240376099261451	0.108753406916691
-1116.14568381503	0.00240376099261451	6.61069613519961e-05
-1057.35013280444	0.00240376099261451	0.157841355998682
-1114.60323131134	0.00240376099261451	0.467737081446101
-1110.33747505581	0.00240376099261451	0.139826093490922
-1116.14520307011	0.00240376099261451	6.61069613519961e-05
-1064.65964412511	0.00240376099261451	0.137759507679527
-1112.75575983034	0.00240376099261451	0.318366364076817
-1115.26824111537	0.00240376099261451	0.590300555349393
-1061.12266490073	0.00240376099261451	0.135566673784671
-1116.14520256255	0.00240376099261451	6.61069613519961e-05
-1116.14520246516	0.00240376099261451	6.61069613519961e-05
-1116.14520246516	0.00240376099261451	6.61069613519961e-05
-1057.92170790297	0.00240376099261451	0.1386728658297
-1116.14520246516	0.00240376099261451	6.61069613519961e-05
-1116.14520249579	0.00240376099261451	6.61069613519961e-05
-1059.1087479401	0.00240376099261451	0.137271446393671
-1113.9566605142	0.00240376099261451	0.766628558920346
-1116.14520249579	0.00240376099261451	6.61069613519961e-05
-1116.14520412352	0.00240376099261451	6.61069613519961e-05
-1116.14565639905	0.00240376099261451	6.61069613519961e-05
-1116.14520412352	0.00240376099261451	6.61069613519961e-05
-1056.8039934933	0.00240376099261451	0.141113823646524
-1116.14551120961	0.00240376099261451	6.61069613519961e-05
-1116.14520324986	0.00240376099261451	6.61069613519961e-05
-1116.14520324986	0.00240376099261451	6.61069613519961e-05
-1057.18212993728	0.00240376099261451	0.140290067590971
-1116.14520246516	0.00240376099261451	6.61069613519961e-05
-1116.14520246516	0.00240376099261451	6.61069613519961e-05
-1057.92170790297	0.00240376099261451	0.1386728658297
-1116.14520246516	0.00240376099261451	6.61069613519961e-05
-1116.14520265916	0.00240376099261451	6.61069613519961e-05
-1053.32195648526	0.00240376099261451	0.155315322465567
-1116.14520265916	0.00240376099261451	6.61069613519961e-05
-1116.06919943508	0.00240376099261451	0.0129458472623278
-1116.14520210089	0.00240376099261451	0
